Wall time,Step,Value
1715638000.4838169,1,0.6177956461906433
1715638016.9405608,2,0.18743528425693512
1715638033.319189,3,0.0752364993095398
1715638049.5336545,4,0.07965214550495148
1715638065.7687738,5,0.0539175309240818
1715638081.9125164,6,0.040512848645448685
1715638098.3870945,7,0.06492965668439865
1715638114.6206522,8,0.05752786248922348
1715638130.874003,9,0.02779681608080864
1715638147.2681012,10,0.030804626643657684
1715638163.4233284,11,0.01795937865972519
1715638179.7993696,12,0.02438650093972683
1715638196.1045992,13,0.024100709706544876
1715638212.3136988,14,0.033088892698287964
1715638228.8391573,15,0.02013564668595791
1715638245.3406014,16,0.01661902293562889
