Wall time,Step,Value
1715635730.9609518,1,0.9111123085021973
1715635742.1940818,2,0.775097668170929
1715635753.3952997,3,0.5618844032287598
1715635764.5189397,4,0.41711705923080444
1715635775.6393578,5,0.28532546758651733
1715635786.7599099,6,0.15286974608898163
1715635797.8304877,7,0.03652918338775635
1715635808.9013615,8,0.052963804453611374
1715635819.9915931,9,0.044355861842632294
1715635831.10258,10,0.03609156236052513
1715635842.2059453,11,0.030659915879368782
1715635853.300924,12,0.027138423174619675
1715635864.3979645,13,0.018018439412117004
1715635875.4978616,14,0.025216225534677505
1715635886.57016,15,0.019661225378513336
1715635897.6874819,16,0.01832147315144539
1715635908.7902248,17,0.019365407526493073
1715635919.8771257,18,0.01660749688744545
1715635930.9599164,19,0.01648477092385292
1715635942.0929337,20,0.015613698400557041
1715635953.2754378,21,0.01685376837849617
1715635964.3568504,22,0.01473026443272829
1715635975.4490764,23,0.015339745208621025
1715635986.5283577,24,0.01541958749294281
1715635997.8134282,25,0.015134375542402267
1715636008.8994057,26,0.014266951940953732
1715636020.1567893,27,0.020919544622302055
1715636031.211513,28,0.015142185613512993
1715636042.3168595,29,0.015247335657477379
1715636053.389529,30,0.024797243997454643
1715636064.4608223,31,0.014391344040632248
1715636075.5510075,32,0.015423284843564034
1715636086.6810627,33,0.015095140784978867
1715636097.7402403,34,0.016827978193759918
1715636108.8386025,35,0.016161173582077026
1715636119.9521384,36,0.01326752733439207
1715636131.0435753,37,0.01835443638265133
1715636142.1411161,38,0.019068654626607895
1715636153.2127912,39,0.015865104272961617
1715636164.2926004,40,0.015620533376932144
1715636175.3716307,41,0.01751849241554737
1715636186.48696,42,0.014264531433582306
1715636197.5612535,43,0.01402801088988781
1715636208.5991142,44,0.013865320011973381
1715636219.6767385,45,0.0197424478828907
1715636230.7989266,46,0.01443115621805191
1715636241.8766422,47,0.01609344407916069
1715636252.9870486,48,0.01512783020734787
1715636264.1018538,49,0.017231052741408348
1715636275.2059386,50,0.015017833560705185
